,time,volume,Timestamp,RF_BuySignal,RF_SellSignal,GreenArrow,RedArrow,Signal_Final,close,open,high,low
1970-01-01 00:00:00.000000360,1748687400,9346,2025-05-31 10:30:00,0,0,False,False,0,103376.71525079309,103391.6027507931,0.0,0.0
1970-01-01 00:00:00.000000361,1748688300,9369,2025-05-31 10:45:00,0,0,False,False,0,103339.48262539654,103384.1590007931,103391.6027507931,103250.0
1970-01-01 00:00:00.000000362,1748689200,7960,2025-05-31 11:00:00,0,0,False,False,0,103335.52846884914,103361.82081309482,103384.0,103267.0
1970-01-01 00:00:00.000000363,1748690100,12203,2025-05-31 11:15:00,1,0,False,False,0,103382.71423442458,103348.67464097198,103490.2,103308.5
1970-01-01 00:00:00.000000364,1748691000,12245,2025-05-31 11:30:00,0,0,False,False,0,103414.97048442457,103365.69443769829,103479.9,103365.69443769829
1970-01-01 00:00:00.000000365,1748691900,11012,2025-05-31 11:45:00,0,0,False,False,0,103438.02586721229,103390.33246106142,103479.0,103390.33246106142
1970-01-01 00:00:00.000000366,1748692800,45054,2025-05-31 12:00:00,0,0,False,False,0,103599.40043360615,103414.17916413685,103880.3,103414.17916413685
1970-01-01 00:00:00.000000367,1748693700,13610,2025-05-31 12:15:00,0,0,False,False,0,103687.16271680307,103506.7897988715,103868.5,103506.7897988715
1970-01-01 00:00:00.000000368,1748694600,19597,2025-05-31 12:30:00,0,0,False,False,0,103742.96573340154,103596.97625783729,103856.0,103596.97625783729
1970-01-01 00:00:00.000000369,1748695500,22080,2025-05-31 12:45:00,0,0,False,False,0,103832.59224170077,103669.97099561941,103980.0,103669.97099561941
1970-01-01 00:00:00.000000370,1748696400,24881,2025-05-31 13:00:00,0,0,False,False,0,103952.56174585038,103751.28161866008,104150.0,103751.28161866008
1970-01-01 00:00:00.000000371,1748697300,16923,2025-05-31 13:15:00,0,0,False,False,0,104008.8246229252,103851.92168225523,104136.9,103851.92168225523
1970-01-01 00:00:00.000000372,1748698200,12657,2025-05-31 13:30:00,0,0,False,False,0,104041.8779364626,103930.37315259021,104134.7,103930.37315259021
1970-01-01 00:00:00.000000373,1748699100,20166,2025-05-31 13:45:00,0,0,False,False,0,104012.20698411565,103986.12554452641,104061.0,103940.0
1970-01-01 00:00:00.000000374,1748700000,32810,2025-05-31 14:00:00,0,0,False,False,0,104158.15073411565,103999.16626432103,104375.0,103999.16626432103
1970-01-01 00:00:00.000000375,1748700900,18211,2025-05-31 14:15:00,0,0,False,False,0,104243.24099205784,104078.65849921835,104421.5,104078.65849921835
1970-01-01 00:00:00.000000376,1748701800,14893,2025-05-31 14:30:00,0,0,False,False,0,104283.8673710289,104160.94974563809,104388.0,104160.94974563809
1970-01-01 00:00:00.000000377,1748702700,12737,2025-05-31 14:45:00,0,0,False,False,0,104375.82118551445,104222.4085583335,104537.9,104222.4085583335
1970-01-01 00:00:00.000000378,1748703600,20223,2025-05-31 15:00:00,0,0,False,False,0,104448.72621775723,104299.11487192397,104585.8,104299.11487192397
1970-01-01 00:00:00.000000379,1748704500,14534,2025-05-31 15:15:00,0,0,False,False,0,104555.61310887862,104373.9205448406,104729.3,104373.9205448406
1970-01-01 00:00:00.000000380,1748705400,21904,2025-05-31 15:30:00,0,0,False,False,0,104591.85952721965,104464.76682685962,104800.0,104424.9
1970-01-01 00:00:00.000000381,1748706300,13198,2025-05-31 15:45:00,0,0,False,False,0,104515.61101360983,104528.31317703964,104613.3,104383.9
1970-01-01 00:00:00.000000382,1748707200,14917,2025-05-31 16:00:00,0,0,False,False,0,104507.33050680491,104521.96209532474,104650.0,104334.9
1970-01-01 00:00:00.000000383,1748708100,10487,2025-05-31 16:15:00,0,0,False,False,0,104588.1555068049,104514.64630106481,104695.8,104514.64630106481
1970-01-01 00:00:00.000000384,1748709000,22430,2025-05-31 16:30:00,0,0,False,False,0,104557.20762670123,104551.40090393486,104739.8,104379.9
1970-01-01 00:00:00.000000385,1748709900,16007,2025-05-31 16:45:00,0,0,False,False,0,104469.88887670122,104554.30426531805,104554.56525340246,104351.0
1970-01-01 00:00:00.000000386,1748710800,20409,2025-05-31 17:00:00,0,0,False,False,0,104442.48003167531,104512.09657100964,104512.09657100964,104344.8
1970-01-01 00:00:00.000000387,1748711700,13205,2025-05-31 17:15:00,0,0,False,False,0,104483.00251583765,104477.28830134247,104575.5,104416.7
1970-01-01 00:00:00.000000388,1748712600,28908,2025-05-31 17:30:00,0,0,False,False,0,104429.75251583764,104480.14540859006,104480.14540859006,104363.6
1970-01-01 00:00:00.000000389,1748713500,20977,2025-05-31 17:45:00,0,0,False,False,0,104360.11375791882,104454.94896221385,104454.94896221385,104215.1
1970-01-01 00:00:00.000000390,1748714400,13405,2025-05-31 18:00:00,0,0,False,False,0,104403.5378144797,104407.53136006634,104512.8,104308.0
1970-01-01 00:00:00.000000391,1748715300,9163,2025-05-31 18:15:00,0,0,False,False,0,104467.9440644797,104405.53458727302,104578.5,104396.6756289594
1970-01-01 00:00:00.000000392,1748716200,5396,2025-05-31 18:30:00,0,0,False,False,0,104436.48757861993,104436.73932587636,104498.7,104367.9
1970-01-01 00:00:00.000000393,1748717100,7113,2025-05-31 18:45:00,0,0,False,False,0,104407.13128930997,104436.61345224814,104452.2,104334.0
1970-01-01 00:00:00.000000394,1748718000,9876,2025-05-31 19:00:00,0,0,True,False,0,104518.26878930996,104421.87237077905,104684.2,104421.16257861993
1970-01-01 00:00:00.000000395,1748718900,9418,2025-05-31 19:15:00,0,0,False,False,0,104565.81564465497,104470.0705800445,104678.2,104470.0705800445
1970-01-01 00:00:00.000000396,1748719800,3502,2025-05-31 19:30:00,0,0,False,False,0,104611.0140723275,104517.94311234973,104683.0,104517.94311234973
1970-01-01 00:00:00.000000397,1748720700,4692,2025-05-31 19:45:00,0,0,False,False,0,104642.27578616374,104564.47859233862,104700.1,104564.47859233862
1970-01-01 00:00:00.000000398,1748721600,3253,2025-05-31 20:00:00,0,0,False,False,0,104593.09082154093,104603.37718925119,104671.3,104490.0
1970-01-01 00:00:00.000000399,1748722500,2642,2025-05-31 20:15:00,0,0,False,False,0,104580.12041077047,104598.23400539605,104638.0,104505.3
1970-01-01 00:00:00.000000400,1748723400,2545,2025-05-31 20:30:00,0,0,False,False,0,104622.51416077046,104589.17720808326,104667.6,104588.59082154093
1970-01-01 00:00:00.000000401,1748724300,5508,2025-05-31 20:45:00,0,0,False,False,0,104677.62270538523,104605.84568442687,104765.5,104605.84568442687
1970-01-01 00:00:00.000000402,1748725200,5744,2025-05-31 21:00:00,0,0,False,False,0,104695.71348884632,104641.73419490605,104830.0,104595.3
1970-01-01 00:00:00.000000403,1748726100,646,2025-05-31 21:15:00,0,0,False,False,0,104664.91924442316,104668.72384187618,104729.2,104585.7
1970-01-01 00:00:00.000000404,1748727000,1337,2025-05-31 21:30:00,0,0,False,False,0,104734.16299442315,104666.82154314968,104827.1,104666.82154314968
1970-01-01 00:00:00.000000405,1748727900,572,2025-05-31 21:45:00,0,0,False,False,0,104739.2204361058,104700.49226878642,104800.3,104675.1
1970-01-01 00:00:00.000000406,1748728800,1715,2025-05-31 22:00:00,0,0,False,False,0,104784.25793610579,104719.8563524461,104854.6,104719.8563524461
1970-01-01 00:00:00.000000407,1748729700,774,2025-05-31 22:15:00,0,0,False,False,0,104743.41135902645,104752.05714427595,104789.7,104680.5
1970-01-01 00:00:00.000000408,1748730600,874,2025-05-31 22:30:00,0,0,False,False,0,104688.74260902646,104747.7342516512,104751.7227180529,104591.5
1970-01-01 00:00:00.000000409,1748731500,932,2025-05-31 22:45:00,0,0,False,False,0,104644.91192951323,104718.23843033882,104718.23843033882,104550.0
1970-01-01 00:00:00.000000410,1748732400,1737,2025-05-31 23:00:00,0,0,False,False,0,104605.1092323783,104681.57517992603,104729.9,104428.3
1970-01-01 00:00:00.000000411,1748733300,1667,2025-05-31 23:15:00,0,0,False,False,0,104673.92961618914,104643.34220615216,104794.2,104593.6
1970-01-01 00:00:00.000000412,1748734200,1723,2025-05-31 23:30:00,0,0,False,False,0,104623.14836618917,104658.63591117066,104658.63591117066,104573.6
1970-01-01 00:00:00.000000413,1748735100,1487,2025-05-31 23:45:00,0,0,False,False,0,104594.46480809458,104640.89213867992,104640.89213867992,104543.9
1970-01-01 00:00:00.000000414,1748736000,1085,2025-06-01 00:00:00,0,0,False,False,0,104518.93552904729,104617.67847338725,104617.67847338725,104400.0
1970-01-01 00:00:00.000000415,1748736900,4686,2025-06-01 00:15:00,0,1,False,False,0,104449.32401452363,104568.30700121727,104568.30700121727,104331.3
1970-01-01 00:00:00.000000416,1748737800,1318,2025-06-01 00:30:00,0,0,False,False,0,104390.84013226183,104508.81550787046,104508.81550787046,104277.6
1970-01-01 00:00:00.000000417,1748738700,2316,2025-06-01 00:45:00,0,0,False,False,0,104394.90847056547,104449.82782006614,104449.82782006614,104337.1
1970-01-01 00:00:00.000000418,1748739600,3011,2025-06-01 01:00:00,0,0,False,False,0,104380.51673528273,104422.3681453158,104423.9,104302.3
1970-01-01 00:00:00.000000419,1748740500,3782,2025-06-01 01:15:00,0,0,False,False,0,104376.56461764136,104401.44244029926,104470.5,104261.2
1970-01-01 00:00:00.000000420,1748741400,12500,2025-06-01 01:30:00,0,0,False,False,0,104284.22086764136,104389.00352897031,104389.00352897031,104114.2
1970-01-01 00:00:00.000000421,1748742300,11643,2025-06-01 01:45:00,0,0,False,False,0,104176.47605882068,104336.61219830584,104336.61219830584,103943.2
1970-01-01 00:00:00.000000422,1748743200,11214,2025-06-01 02:00:00,0,0,False,False,0,104077.04427941033,104256.54412856326,104256.54412856326,103874.2
