,Close,High,Low,Open,time,Volume,Timestamp,RSI,RSI_Smoothed,RSI_Momentum,Signal_Color,Long_Signal,Short_Signal,IsIB,BoxHigh,BoxLow,GreenArrow,RedArrow,BarColor,RF_UpperBand,RF_LowerBand,RF_Filter,RF_Trend,RF_BuySignal,RF_SellSignal
1970-01-01 00:00:00.000002878,110409.0,110448.1,110360.0,110424.8,1747983000,4333,2025-05-23 06:50:00,,,,NEUTRAL,0,0,False,,,False,False,,,,,0.0,0,0
1970-01-01 00:00:00.000002877,110384.4,110611.2,110370.0,110611.1,1747982700,3474,2025-05-23 06:45:00,,,,NEUTRAL,0,0,False,,,False,False,,110385.62672,110384.4,110385.01336,0.0,0,0
1970-01-01 00:00:00.000002876,110630.0,110687.4,110557.3,110670.7,1747982400,2014,2025-05-23 06:40:00,,,,NEUTRAL,0,0,False,,,False,False,,110548.54224000001,110538.50032812697,110543.52128406349,1.0,0,0
1970-01-01 00:00:00.000002875,110669.9,110669.9,110451.3,110540.4,1747982100,2525,2025-05-23 06:35:00,,,,NEUTRAL,0,0,False,,,False,False,,110629.44741333333,110608.13826314014,110618.79283823674,1.0,0,0
1970-01-01 00:00:00.000002874,110542.7,110608.3,110519.2,110532.7,1747981800,1964,2025-05-23 06:30:00,,,,NEUTRAL,0,0,True,110669.9,110451.3,False,False,orange,110600.33801278216,110564.51275438005,110582.42538358111,-1.0,0,1
1970-01-01 00:00:00.000002873,110524.9,110587.5,110452.6,110500.0,1747981500,1751,2025-05-23 06:25:00,,,,NEUTRAL,0,0,False,,,False,False,,110587.74594836953,110538.10425146003,110562.92509991476,-1.0,0,0
1970-01-01 00:00:00.000002872,110510.5,110583.2,110454.9,110519.8,1747981200,3661,2025-05-23 06:20:00,,,,NEUTRAL,0,0,True,110587.5,110452.6,False,False,orange,110581.29320621816,110519.70141715334,110550.49731168574,-1.0,0,0
1970-01-01 00:00:00.000002871,110513.7,110522.0,110402.6,110450.0,1747980900,6324,2025-05-23 06:15:00,,,,NEUTRAL,0,0,False,,,False,False,,110581.29320621816,110519.70141715334,110550.49731168574,-1.0,0,0
1970-01-01 00:00:00.000002870,110479.0,110584.0,110418.0,110584.0,1747980600,5549,2025-05-23 06:10:00,,,,NEUTRAL,0,0,False,,,False,False,,110568.89876048619,110492.5671390511,110530.73294976866,-1.0,0,0
1970-01-01 00:00:00.000002869,110599.5,110763.1,110589.6,110750.2,1747980300,3447,2025-05-23 06:05:00,,,,NEUTRAL,0,0,False,,,False,False,,110589.29958682874,110500.42082527862,110544.86020605368,1.0,1,0
1970-01-01 00:00:00.000002868,110770.2,110807.3,110738.4,110800.4,1747980000,935,2025-05-23 06:00:00,72.61457550713756,72.61457550713756,,NEUTRAL,0,0,False,,,False,False,,110709.89986227624,110605.62459395554,110657.7622281159,1.0,0,0
1970-01-01 00:00:00.000002867,110810.4,110815.7,110746.8,110771.5,1747979700,2066,2025-05-23 05:55:00,74.0651434896039,73.33985949837073,0.7252839912331694,STRONG_BULL,0,0,False,,,False,False,,110776.89995409208,110657.84233118684,110717.37114263946,1.0,0,0
1970-01-01 00:00:00.000002866,110779.8,110790.5,110732.2,110744.8,1747979400,525,2025-05-23 05:50:00,70.88934850051785,72.11460399944428,-1.225255498926444,WEAK_BEAR,0,0,False,,,False,False,,110776.89995409208,110657.84233118684,110717.37114263946,1.0,0,0
1970-01-01 00:00:00.000002865,110744.9,110773.5,110695.6,110752.8,1747979100,710,2025-05-23 05:45:00,67.2359134494832,69.67525872446375,-2.439345274980539,WEAK_BEAR,0,0,True,110790.5,110732.2,False,False,orange,110776.89995409208,110657.84233118684,110717.37114263946,1.0,0,0
