close,high,low,open,time,volume
2.1545,2.1564,2.1545,2.1559,1750229100,14848
2.155,2.1585,2.1544,2.1579,1750228800,57108
2.158,2.1592,2.157,2.1588,1750228500,78185
2.1588,2.1606,2.1566,2.1604,1750228200,78250
2.1604,2.1606,2.157,2.1593,1750227900,50583
2.1595,2.1644,2.1592,2.1641,1750227600,66718
2.1639,2.1648,2.1614,2.1632,1750227300,33100
2.1632,2.1667,2.1626,2.1655,1750227000,34797
2.1659,2.1679,2.1634,2.164,1750226700,59449
2.164,2.1678,2.163,2.1673,1750226400,63684
2.1673,2.1682,2.1661,2.1676,1750226100,38505
2.1671,2.1693,2.1663,2.1688,1750225800,28993
2.1687,2.1687,2.1662,2.1682,1750225500,37345
2.1685,2.1708,2.1675,2.1694,1750225200,29229
2.169,2.1738,2.1682,2.1738,1750224900,35739
2.1735,2.1753,2.1706,2.1708,1750224600,34176
2.1706,2.1721,2.1702,2.1705,1750224300,43862
2.1706,2.1725,2.1688,2.1693,1750224000,12510
2.1691,2.1729,2.1688,2.1717,1750223700,17237
2.1717,2.1724,2.1702,2.1724,1750223400,25355
2.1724,2.174,2.1697,2.1727,1750223100,32723
2.1725,2.173,2.17,2.1711,1750222800,24153
2.1708,2.1714,2.1695,2.1705,1750222500,11869
2.1702,2.1723,2.1683,2.1723,1750222200,16513
2.1723,2.174,2.1689,2.169,1750221900,54144
2.169,2.1696,2.165,2.166,1750221600,39929
2.1656,2.1663,2.1632,2.166,1750221300,9701
2.166,2.166,2.1613,2.1629,1750221000,19233
2.1631,2.1638,2.1612,2.1638,1750220700,32507
2.1636,2.1674,2.1636,2.1662,1750220400,14137
2.1649,2.169,2.1647,2.169,1750220100,11883
2.1682,2.1686,2.1671,2.1678,1750219800,26163
2.1678,2.1692,2.1646,2.165,1750219500,18109
2.164,2.1666,2.164,2.1666,1750219200,20153
2.1666,2.1671,2.1646,2.167,1750218900,70359
2.1666,2.1686,2.1666,2.1671,1750218600,13380
2.1666,2.17,2.1663,2.1694,1750218300,12340
2.1697,2.1699,2.1677,2.1677,1750218000,11029
2.1678,2.1697,2.1671,2.169,1750217700,20829
2.1678,2.169,2.1648,2.1648,1750217400,35013
2.1643,2.1655,2.1613,2.1613,1750217100,12716
2.1618,2.1645,2.1602,2.1622,1750216800,13866
2.162,2.162,2.158,2.1601,1750216500,13090
2.1592,2.1605,2.1578,2.1595,1750216200,74953
2.159,2.1615,2.1572,2.1586,1750215900,24857
2.158,2.159,2.1568,2.1578,1750215600,17952
2.158,2.1621,2.158,2.1609,1750215300,12771
2.1609,2.1626,2.1588,2.1626,1750215000,36606
2.1626,2.1634,2.1609,2.1609,1750214700,11083
2.1608,2.1657,2.1606,2.1655,1750214400,18302
2.1649,2.1665,2.1626,2.1642,1750214100,11005
2.1643,2.1669,2.1636,2.1653,1750213800,25949
2.1651,2.1655,2.1632,2.1632,1750213500,27718
2.163,2.1637,2.1552,2.1558,1750213200,39006
2.1558,2.1577,2.1538,2.1576,1750212900,56514
2.158,2.162,2.158,2.161,1750212600,22285
2.1611,2.163,2.1597,2.1604,1750212300,21617
2.1605,2.1607,2.1577,2.1607,1750212000,45367
2.1607,2.162,2.1599,2.1605,1750211700,26582
2.1604,2.1635,2.16,2.1615,1750211400,16508
2.1618,2.1656,2.1608,2.1656,1750211100,29317
2.1659,2.1677,2.1653,2.1677,1750210800,19739
2.1683,2.1683,2.1666,2.1676,1750210500,21222
2.1678,2.1682,2.1643,2.1655,1750210200,22629
2.1656,2.1706,2.1656,2.1706,1750209900,32523
2.171,2.1764,2.171,2.1754,1750209600,12063
2.175,2.176,2.1712,2.1712,1750209300,65542
2.1713,2.1716,2.1687,2.17,1750209000,20955
2.1707,2.172,2.1671,2.1678,1750208700,96055
2.1683,2.1683,2.1639,2.1658,1750208400,20525
2.1658,2.1658,2.1623,2.1626,1750208100,13226
2.1624,2.1626,2.1593,2.1598,1750207800,26767
2.1595,2.161,2.1561,2.161,1750207500,15645
2.1617,2.1638,2.1616,2.1624,1750207200,11210
2.163,2.165,2.1588,2.159,1750206900,17900
2.1574,2.1577,2.1512,2.154,1750206600,11357
2.1535,2.159,2.1531,2.1579,1750206300,40894
2.158,2.162,2.1567,2.1592,1750206000,19207
2.1589,2.1618,2.1589,2.1617,1750205700,2905
2.1609,2.1629,2.1609,2.1618,1750205400,4681
2.1611,2.1644,2.1593,2.1609,1750205100,4931
2.1604,2.1618,2.1582,2.1582,1750204800,6754
2.1581,2.1595,2.1571,2.1595,1750204500,12414
2.1591,2.165,2.1589,2.165,1750204200,17598
2.165,2.165,2.1623,2.1627,1750203900,8039
2.1638,2.1647,2.1615,2.164,1750203600,16893
2.1639,2.1642,2.1609,2.1626,1750203300,13893
2.1616,2.163,2.1612,2.1617,1750203000,9347
2.1619,2.1623,2.1593,2.1596,1750202700,18812
2.1598,2.1603,2.1558,2.1558,1750202400,9611
